Date,Open,High,Low,Close,Adj Close,Volume,price_diff
2020-01-02,5515.02001953125,5577.5498046875,5513.31982421875,5577.22998046875,5577.22998046875,284700,0
2020-01-03,5484.93994140625,5541.02001953125,5481.9599609375,5512.14990234375,5512.14990234375,260400,0
2020-01-06,5446.6201171875,5501.52001953125,5441.009765625,5500.1298828125,5500.1298828125,241100,0
2020-01-07,5532.5400390625,5573.66015625,5511.18017578125,5558.1298828125,5558.1298828125,297200,0
2020-01-08,5560.81005859375,5622.3701171875,5551.47021484375,5595.43994140625,5595.43994140625,279300,0
2020-01-09,5647.85986328125,5657.2001953125,5598.8798828125,5640.10009765625,5640.10009765625,288200,0
2020-01-10,5665.47998046875,5666.14013671875,5611.43994140625,5622.39990234375,5622.39990234375,237900,0
2020-01-13,5650.16015625,5682.02978515625,5640.31982421875,5681.60986328125,5681.60986328125,225600,0
2020-01-14,5678.10009765625,5707.3701171875,5652.97998046875,5669.490234375,5669.490234375,249400,0
2020-01-15,5666.39013671875,5677.3798828125,5625.6298828125,5643.18994140625,5643.18994140625,230500,1.8986456471721262
2020-01-16,5683.72998046875,5724.169921875,5679.93994140625,5723.7998046875,5723.7998046875,255100,0.6351099010211712
2020-01-17,5740.7900390625,5742.35986328125,5703.27978515625,5736.06005859375,5736.06005859375,0,1.329279405335027
2020-01-21,5709.7001953125,5751.2998046875,5709.7001953125,5733.2001953125,5733.2001953125,278200,0.5565258997334968
2020-01-22,5770.919921875,5802.259765625,5744.85009765625,5752.169921875,5752.169921875,0,1.844733289345663
2020-01-23,5761.56005859375,5800.7099609375,5734.2099609375,5799.7099609375,5799.7099609375,261100,1.3693486212830466
2020-01-24,5846.3798828125,5853.47021484375,5709.91015625,5742.85986328125,5742.85986328125,372000,1.839291160825024
2020-01-27,5571.25,5616.72021484375,5565.2900390625,5580.68994140625,5580.68994140625,306600,-2.9532527388893457
2020-01-28,5626.25,5687.6298828125,5605.14990234375,5673.06005859375,5673.06005859375,255200,-1.4615512629018632
2020-01-29,5680.35986328125,5681.080078125,5617.419921875,5617.77978515625,5617.77978515625,0,-1.569248227660844
2020-01-30,5567.16015625,5623.27978515625,5535.16015625,5621.1298828125,5621.1298828125,355800,-3.3740844557159413
2020-01-31,5590.02978515625,5590.4599609375,5455.2099609375,5473.4501953125,5473.4501953125,359000,-4.384766347631322
2020-02-03,5498.68994140625,5574.81982421875,5498.10986328125,5564.52978515625,5564.52978515625,0,-1.302401769688131
2020-02-04,5675.35009765625,5715.39013671875,5651.25,5712.6201171875,5712.6201171875,287400,0.8726966924016885
2020-02-05,5812.330078125,5821.2900390625,5723.97021484375,5761.1298828125,5761.1298828125,284100,2.323272081700782
2020-02-06,5783.490234375,5807.27001953125,5749.52978515625,5803.72021484375,5803.72021484375,249300,3.885824586564767
2020-02-07,5764.81982421875,5765.259765625,5717.31005859375,5721.41015625,5721.41015625,262000,3.1268176696774854
2020-02-10,5690.25,5798.990234375,5690.02978515625,5798.66015625,5798.66015625,261500,3.4837399568807097
2020-02-11,5841.1298828125,5882.2998046875,5826.4599609375,5847.52978515625,5847.52978515625,326000,2.9210494912853413
2020-02-12,5893.75,5917.39990234375,5882.77978515625,5915.5,5915.5,307200,1.4008138006722644
2020-02-13,5855.64013671875,5935.31005859375,5855.330078125,5909.47021484375,5909.47021484375,305800,1.2475148987875306
2020-02-14,5937.43994140625,5942.52978515625,5878.89990234375,5907.669921875,5907.669921875,254600,2.994371419247149
2020-02-18,5840.06982421875,5874.64013671875,5835.8798828125,5867.2001953125,5867.2001953125,0,-0.018148177065351993
2020-02-19,5919.93994140625,5968.60009765625,5919.89990234375,5954.6201171875,5954.6201171875,273600,0.4443680408271474
2020-02-20,5929.75,5944.990234375,5791.02978515625,5872.83984375,5872.83984375,0,1.2656150574645455
