#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
179,SchoolMint,San Francisco Bay Area,USA,North America,29,2023-10-05 00:00:00 UTC,14,207,178,Education,Acquired,$8,2023,37.77493,-122.41942
181,Arrival,London,United Kingdom,Europe,200,2023-10-05 00:00:00 UTC,25,800,600,Transportation,Post-IPO,$629,2023,51.50853,-0.12574
183,Qualtrics,Salt Lake City,USA,North America,780,2023-10-04 00:00:00 UTC,14,5571,4791,Other,Post-IPO,$400,2023,40.76078,-111.89105
184,Hopper,Montreal,Canada,North America,250,2023-10-04 00:00:00 UTC,30,833,583,Travel,Unknown,$730,2023,45.50884,-73.58781
191,Chainalysis,New York City,USA,North America,150,2023-10-02 00:00:00 UTC,15,1000,850,Crypto,Series F,$536,2023,40.71427,-74.00597
192,Synapse,San Francisco Bay Area,USA,North America,86,2023-10-02 00:00:00 UTC,40,215,129,Finance,Series B,$50,2023,37.77493,-122.41942
193,Chia Network,San Francisco Bay Area,USA,North America,26,2023-10-02 00:00:00 UTC,37,70,44,Crypto,Series D,$70,2023,37.77493,-122.41942
196,Cowbell,San Francisco Bay Area,USA,North America,28,2023-09-29 00:00:00 UTC,12,233,205,Finance,Series B,$123,2023,37.66243,-121.87468
200,Epic Games,Raleigh,USA,North America,870,2023-09-28 00:00:00 UTC,16,5438,4568,Consumer,Unknown,6400,2023,35.7721,-78.63861
205,Fi.Money,Bengaluru,India,Asia,30,2023-09-27 00:00:00 UTC,10,300,270,Finance,Series C,$137,2023,12.97194,77.59369
206,Dunzo,Bengaluru,India,Asia,150,2023-09-26 00:00:00 UTC,30,500,350,Food,Unknown,$458,2023,12.97194,77.59369
207,Flexe,Seattle,USA,North America,131,2023-09-26 00:00:00 UTC,33,397,266,Logistics,Series D,$263,2023,47.60621,-122.33207
209,Lucid Software,Salt Lake City,USA,North America,75,2023-09-25 00:00:00 UTC,7,1071,996,Other,Series E,$170,2023,40.76078,-111.89105
225,7shifts,Saskatoon,Canada,North America,30,2023-09-15 00:00:00 UTC,7,429,399,Food,Series C,$131,2023,52.13238,-106.66892
227,Airtable,San Francisco Bay Area,USA,North America,237,2023-09-14 00:00:00 UTC,27,878,641,Product,Series F,$1400,2023,37.77493,-122.41942
229,VideoAmp,Los Angeles,USA,North America,40,2023-09-14 00:00:00 UTC,10,400,360,Marketing,Series F,$456,2023,34.05223,-118.24368
233,Evolve,Denver,USA,North America,175,2023-09-12 00:00:00 UTC,20,875,700,Travel,Series F,$224,2023,39.73915,-104.9847
235,Paper,Montreal,Canada,North America,87,2023-09-12 00:00:00 UTC,3,2900,2813,Education,Series D,$389,2023,45.50884,-73.58781
236,Homeday,Berlin,Germany,Europe,40,2023-09-12 00:00:00 UTC,20,200,160,Real Estate,Unknown,$71,2023,52.52437,13.41053
237,At-Bay,San Francisco Bay Area,USA,North America,27,2023-09-12 00:00:00 UTC,9,300,273,Security,Unknown,$296,2023,37.77493,-122.41942
